,vendorid,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
9455140,2,05/17/2015 01:05:57 AM,05/17/2015 01:23:19 AM,N,1,-73.97779846191406,40.684791564941406,-73.95731353759764,40.631080627441406,1,3.91,15.5,0.5,0.5,3.36,0.0,,0.3,20.16,1,1.0
12228900,2,03/15/2015 09:03:16 PM,03/15/2015 09:09:46 PM,N,1,-73.94187927246092,40.80702972412109,-73.94761657714845,40.79358673095703,1,1.34,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1.0
9082092,2,05/23/2015 04:00:53 AM,05/23/2015 04:18:51 AM,N,1,-73.83032989501953,40.75945281982422,-73.95452880859375,40.733108520507805,1,9.79,28.5,0.5,0.5,0.0,0.0,,0.3,29.8,2,1.0
8824101,2,11/01/2015 06:25:31 AM,11/01/2015 06:29:05 AM,N,1,-73.88684844970702,40.82732009887695,-73.89657592773438,40.8238639831543,1,0.58,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2,1.0
9023797,1,01/31/2015 09:22:31 PM,01/31/2015 09:26:30 PM,N,1,-73.91893005371092,40.74303436279297,-73.90808868408203,40.73857116699219,1,0.8,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1.0
12241118,2,07/24/2015 01:42:20 PM,07/24/2015 02:32:20 PM,N,5,-73.9363555908203,40.846229553222656,0.0,0.0,1,1.68,7.0,0.0,0.0,0.0,0.0,,0.0,7.0,2,1.0
16545341,2,04/24/2015 09:39:38 AM,04/24/2015 09:47:45 AM,N,1,-73.94189453125,40.82291030883789,-73.96226501464845,40.805278778076165,1,1.94,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2,1.0
10070805,2,05/22/2015 06:30:50 PM,05/22/2015 06:43:32 PM,N,1,-73.95484924316406,40.73382186889648,-73.96343994140625,40.71864318847656,3,1.83,9.5,1.0,0.5,2.0,0.0,,0.3,13.3,1,1.0
4950363,1,08/08/2015 07:45:03 AM,08/08/2015 07:46:51 AM,N,1,-73.88516235351561,40.74751663208008,-73.89041900634764,40.74674224853516,1,0.3,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,1,1.0
11406622,2,06/26/2015 04:39:34 PM,06/26/2015 04:50:49 PM,N,1,-73.99119567871094,40.68560409545898,-73.97071075439453,40.687664031982415,1,1.28,8.5,1.0,0.5,0.0,0.0,,0.3,10.3,2,1.0
