,vendorid,pickup_datetime,dropoff_datetime,Store_and_fwd_flag,rate_code,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,Improvement_surcharge,Total_amount,Payment_type,Trip_type
18346939,2,09/02/2015 03:53:25 AM,09/02/2015 04:00:50 AM,N,1,-73.9171142578125,40.74319839477539,-73.93611145019531,40.754253387451165,1,1.61,7.5,0.5,0.5,1.76,0.0,,0.3,10.56,1,1.0
16449067,2,12/17/2015 08:03:55 PM,12/17/2015 08:17:02 PM,N,1,-73.94743347167967,40.67469024658203,-73.9746551513672,40.687026977539055,1,2.36,11.5,0.5,0.5,3.2,0.0,,0.3,16.0,1,1.0
11876846,2,08/24/2015 11:45:51 PM,08/24/2015 11:47:14 PM,N,1,-73.94377136230467,40.825477600097656,-73.94034576416014,40.83005905151367,1,0.25,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,2,1.0
3699858,2,06/12/2015 01:51:09 PM,06/12/2015 01:59:15 PM,N,1,-73.94384765625,40.82541275024414,-73.94427490234375,40.80971145629882,1,1.39,8.0,0.0,0.5,1.76,0.0,,0.3,10.56,1,1.0
5057781,2,07/19/2015 10:00:52 AM,07/19/2015 10:08:39 AM,N,1,-73.9504165649414,40.82662582397461,-73.96408081054686,40.807838439941406,1,1.49,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2,1.0
9376719,2,07/21/2015 04:18:12 PM,07/21/2015 04:34:15 PM,N,1,-73.97718811035155,40.687454223632805,-73.96185302734375,40.71395111083984,1,3.34,13.5,1.0,0.5,2.0,0.0,,0.3,17.3,1,1.0
10870171,2,10/29/2015 10:34:54 AM,10/29/2015 10:47:27 AM,N,1,-73.93639373779298,40.8115348815918,-73.93315887451173,40.855838775634766,1,4.44,15.5,0.0,0.5,0.0,0.0,,0.3,16.3,2,1.0
4843472,2,04/18/2015 07:04:13 PM,04/18/2015 07:19:26 PM,N,1,-73.94205474853516,40.798873901367195,-73.97029876708984,40.79492950439453,1,2.19,11.5,0.0,0.5,0.0,0.0,,0.3,12.3,2,1.0
18447956,1,06/02/2015 03:08:03 PM,06/02/2015 03:25:10 PM,Y,5,-73.88114929199219,40.748096466064446,-73.86753845214845,40.743446350097656,1,1.9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2,2.0
4131681,1,07/23/2015 08:47:30 PM,07/23/2015 08:58:13 PM,N,1,-73.91991424560547,40.757827758789055,-73.89391326904298,40.74663925170898,2,1.7,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1.0
18206372,2,04/21/2015 11:30:53 PM,04/21/2015 11:39:07 PM,N,1,-73.86676025390625,40.74959564208984,-73.88953399658203,40.739219665527344,1,1.59,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,1,1.0
16713695,1,10/04/2015 02:10:42 PM,10/04/2015 02:21:57 PM,N,1,-73.93645477294923,40.81442642211913,-73.9464340209961,40.789005279541016,1,2.4,10.5,0.0,0.5,0.0,0.0,,0.3,11.3,2,1.0
18655625,2,07/06/2015 10:42:47 AM,07/06/2015 10:44:30 AM,N,1,-73.9626693725586,40.682716369628906,-73.96102142333984,40.68421173095703,1,0.29,3.0,0.0,0.5,3.0,0.0,,0.3,6.8,1,1.0
14592500,2,06/07/2015 01:26:34 AM,06/07/2015 01:37:29 AM,N,1,-73.92720031738281,40.86524200439453,-73.91327667236328,40.83956909179688,1,2.8,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1.0
15889841,2,04/25/2015 09:34:30 PM,04/25/2015 09:36:20 PM,N,1,-73.96728515625,40.681190490722656,-73.96571350097656,40.686721801757805,1,0.45,3.5,0.5,0.5,0.0,0.0,,0.3,4.8,2,1.0
9669067,2,08/15/2015 03:31:31 AM,08/15/2015 03:53:24 AM,N,1,-73.98009490966798,40.69355010986328,-73.9259262084961,40.66153717041016,1,5.1,18.0,0.5,0.5,0.0,0.0,,0.3,19.3,2,1.0
14957189,2,10/30/2015 07:25:28 PM,10/30/2015 07:37:42 PM,N,1,-73.9768295288086,40.681671142578125,-73.99005126953125,40.689903259277344,3,1.03,9.0,1.0,0.5,0.0,0.0,,0.3,10.8,2,1.0
588392,1,02/03/2015 12:27:09 PM,02/03/2015 12:36:36 PM,N,1,-73.95248413085938,40.78945159912109,-73.95523834228516,40.7825584411621,1,1.0,7.5,0.0,0.5,1.65,0.0,,0.3,9.95,1,1.0
6126817,2,05/15/2015 08:14:06 AM,05/15/2015 08:31:40 AM,N,1,-73.94434356689453,40.82983016967773,-73.94380950927734,40.79616165161133,1,3.04,13.5,0.0,0.5,0.0,0.0,,0.3,14.3,1,1.0
12087996,2,06/05/2015 10:44:38 PM,06/05/2015 10:47:38 PM,N,1,-73.95050048828125,40.792179107666016,-73.95366668701173,40.79885482788086,1,0.63,4.5,0.5,0.5,0.0,0.0,,0.3,5.8,2,1.0
12615777,2,12/14/2015 06:17:36 PM,12/14/2015 06:27:08 PM,N,1,-73.97000885009764,40.68952178955078,-73.94925689697266,40.69164276123047,1,1.54,8.0,1.0,0.5,0.0,0.0,,0.3,9.8,1,1.0
8397390,2,08/15/2015 04:04:41 AM,08/15/2015 04:09:33 AM,N,1,-73.95552062988281,40.80428695678711,-73.96459197998048,40.801372528076165,1,0.73,5.0,0.5,0.5,1.58,0.0,,0.3,7.88,1,1.0
13716795,2,11/22/2015 12:47:53 AM,11/22/2015 12:56:44 AM,N,1,-73.89128875732422,40.7465934753418,-73.88719940185547,40.73817443847656,1,1.4,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1.0
8991488,2,04/08/2015 07:08:41 PM,04/08/2015 07:14:31 PM,N,1,-73.847900390625,40.72278594970703,-73.85013580322266,40.734050750732415,1,0.93,6.0,1.0,0.5,0.0,0.0,,0.3,7.8,2,1.0
16178557,1,04/25/2015 06:03:09 PM,04/25/2015 06:09:23 PM,N,1,-73.95613861083984,40.71373748779297,-73.95189666748048,40.72534942626953,1,1.1,6.0,0.0,0.5,1.7,0.0,,0.3,8.5,1,1.0
14550659,1,05/29/2015 11:47:09 PM,05/30/2015 12:23:06 AM,N,1,-73.92174530029298,40.76663589477539,-73.98076629638672,40.72990036010742,1,6.3,26.5,0.5,0.5,3.0,0.0,,0.3,30.8,1,1.0
6310195,2,11/01/2015 08:27:50 AM,11/01/2015 08:31:45 AM,N,1,-73.89120483398438,40.871856689453125,-73.897216796875,40.8792724609375,1,1.35,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2,1.0
15671865,2,07/27/2015 01:12:42 AM,07/27/2015 01:27:32 AM,N,1,-73.90895080566406,40.75421142578125,-73.87930297851561,40.748046875,1,2.06,11.5,0.5,0.5,0.0,0.0,,0.3,12.8,2,1.0
8612628,2,06/02/2015 07:38:54 PM,06/02/2015 07:58:11 PM,N,5,-73.95465087890625,40.78977966308594,-73.94739532470702,40.808555603027344,3,2.99,8.0,0.0,0.0,0.0,0.0,,0.0,8.0,2,2.0
17650466,2,05/26/2015 03:24:51 PM,05/26/2015 03:34:51 PM,N,1,-73.94236755371094,40.83772277832031,-73.9716796875,40.8002815246582,1,4.36,14.0,0.0,0.5,2.0,0.0,,0.3,16.8,1,1.0
4027418,2,01/15/2015 07:14:51 PM,01/15/2015 07:37:23 PM,N,1,-73.82814788818358,40.71102523803711,-73.92821502685547,40.696563720703125,1,6.0,20.5,1.0,0.5,0.0,0.0,,0.3,22.3,2,1.0
7556504,1,09/30/2015 06:16:01 PM,09/30/2015 06:39:44 PM,N,1,-73.95177459716798,40.791114807128906,-73.98814392089844,40.76415252685546,1,3.5,17.0,1.0,0.5,4.5,0.0,,0.3,23.3,1,1.0
7895531,2,01/16/2015 02:52:40 PM,01/16/2015 02:52:45 PM,N,5,-74.097900390625,40.67073440551758,-74.09791564941406,40.67073059082031,1,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,20.0,1,2.0
6608382,2,01/24/2015 01:10:32 AM,01/24/2015 01:25:18 AM,N,1,-73.95751190185547,40.71811294555664,-73.95848846435547,40.742862701416016,2,3.11,13.0,0.5,0.5,1.9,0.0,,0.3,16.2,1,1.0
2103438,2,04/22/2015 09:10:19 AM,04/22/2015 09:15:41 AM,N,1,-73.95552825927734,40.8043212890625,-73.96441650390625,40.80718612670898,1,1.01,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1,1.0
17667765,2,12/01/2015 09:47:21 PM,12/01/2015 10:28:19 PM,N,1,-73.99752044677734,40.679584503173835,-73.9677505493164,40.80536651611328,1,10.28,35.5,0.5,0.5,0.0,0.0,,0.3,36.8,2,1.0
8718224,2,05/25/2015 02:34:19 PM,05/25/2015 02:45:53 PM,N,1,-73.8341064453125,40.758567810058594,-73.8792266845703,40.75614547729492,2,2.76,11.5,0.0,0.5,0.0,0.0,,0.3,12.3,2,1.0
7037933,1,11/21/2015 05:20:28 AM,11/21/2015 05:52:34 AM,N,1,-73.88815307617188,40.7470703125,-73.93795776367188,40.79779815673828,3,8.2,28.5,0.5,0.5,0.0,0.0,,0.3,29.8,2,1.0
17422810,2,04/12/2015 10:50:29 AM,04/12/2015 10:53:08 AM,N,1,-73.94707489013672,40.79700469970703,-73.93983459472656,40.80693054199219,3,0.76,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2,1.0
4587327,2,01/26/2015 12:47:17 AM,01/26/2015 12:54:54 AM,N,1,-73.92071533203125,40.75672149658203,-73.90145111083984,40.74687957763672,1,1.97,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1.0
15408821,2,06/01/2015 08:55:27 PM,06/01/2015 09:06:08 PM,N,1,-73.93338775634764,40.6707763671875,-73.95201873779298,40.65861129760742,1,1.81,9.0,0.5,0.5,2.06,0.0,,0.3,12.36,1,1.0
4459593,1,01/15/2015 02:37:42 PM,01/15/2015 02:59:54 PM,N,1,-73.86380767822266,40.73308181762695,-73.86243438720702,40.73497009277344,1,3.0,16.5,0.0,0.5,0.0,0.0,,0.3,17.3,2,1.0
10584764,2,01/01/2015 01:00:04 AM,01/01/2015 01:12:31 AM,N,1,-73.87513732910156,40.834148406982415,-73.9025650024414,40.86383819580078,1,4.03,14.0,0.5,0.5,0.0,0.0,,0.3,15.3,2,1.0
6358787,2,10/22/2015 08:25:58 PM,10/22/2015 09:21:24 PM,N,1,-73.98763275146483,40.69120788574219,-73.93873596191406,40.6751708984375,1,8.57,37.0,0.5,0.5,0.0,0.0,,0.3,38.3,2,1.0
8907215,2,10/22/2015 08:12:58 PM,10/22/2015 08:21:40 PM,N,1,-74.01366424560547,40.67667388916016,-73.9958724975586,40.695022583007805,1,1.78,8.0,0.5,0.5,1.0,0.0,,0.3,10.3,1,1.0
15078412,2,03/10/2015 01:24:00 PM,03/10/2015 01:43:49 PM,N,1,-73.96232604980467,40.810428619384766,-73.98561096191406,40.76809310913086,1,3.4,15.5,0.0,0.5,4.08,0.0,,0.3,20.38,1,1.0
1747080,1,02/09/2015 09:07:58 AM,02/09/2015 09:16:18 AM,N,1,-73.93936157226561,40.805221557617195,-73.95222473144531,40.78887939453125,2,1.4,7.0,0.0,0.5,1.95,0.0,,0.3,9.75,1,1.0
4970420,2,07/13/2015 03:24:37 PM,07/13/2015 03:29:54 PM,N,1,-73.8421859741211,40.84066009521485,-73.82366180419923,40.82996368408203,1,1.35,6.5,0.0,0.5,1.46,0.0,,0.3,8.76,1,1.0
12570858,1,04/26/2015 02:39:20 AM,04/26/2015 02:45:11 AM,N,1,-73.88270568847656,40.75579833984375,-73.8742446899414,40.7515869140625,1,0.8,6.0,0.5,0.5,0.0,0.0,,0.3,7.3,2,1.0
7167328,2,10/24/2015 01:41:34 AM,10/24/2015 01:56:14 AM,N,1,-73.83037567138672,40.75944900512695,-73.72329711914062,40.730167388916016,1,8.45,24.5,0.5,0.5,0.0,0.0,,0.3,25.8,2,1.0
12932491,2,04/05/2015 04:53:25 PM,04/05/2015 04:57:07 PM,N,1,-73.90291595458984,40.746746063232415,-73.9032211303711,40.738666534423835,1,0.72,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2,1.0
1584345,1,02/27/2015 07:06:15 AM,02/27/2015 07:25:45 AM,N,1,-73.95050048828125,40.82624435424805,-73.90058135986328,40.83893966674805,1,3.7,16.0,0.0,0.5,3.35,0.0,,0.3,20.15,1,1.0
9535255,1,11/07/2015 11:52:48 PM,11/08/2015 12:06:47 AM,N,1,-73.82395935058594,40.751949310302734,-73.8688201904297,40.749000549316406,1,2.9,12.0,0.5,0.5,0.0,0.0,,0.3,13.3,2,1.0
15837518,2,06/24/2015 01:09:07 PM,06/24/2015 01:16:33 PM,N,1,-73.94413757324217,40.8155517578125,-73.94300079345702,40.831668853759766,1,1.38,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2,1.0
10754463,2,09/07/2015 04:37:11 PM,09/07/2015 05:01:13 PM,N,1,-73.82601928710938,40.74288940429688,-73.78201293945312,40.64440536499024,1,10.27,30.0,0.0,0.5,0.0,0.0,,0.3,30.8,2,1.0
6290010,2,04/24/2015 11:22:56 PM,04/24/2015 11:30:17 PM,N,1,-73.8978500366211,40.746143341064446,-73.88291168212889,40.74992370605469,1,0.93,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,2,1.0
10288646,2,09/05/2015 01:29:45 PM,09/05/2015 01:35:26 PM,N,1,-74.0001449584961,40.69202423095703,-74.00114440917967,40.68051910400391,1,0.98,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2,1.0
16324432,1,05/14/2015 06:09:42 PM,05/14/2015 06:37:44 PM,N,1,-73.95236206054686,40.7897834777832,-73.94047546386719,40.84547424316406,1,4.7,20.5,1.0,0.5,0.0,0.0,,0.3,22.3,2,1.0
16707358,2,10/08/2015 05:43:50 PM,10/08/2015 06:00:14 PM,N,1,-73.96660614013672,40.69601821899414,-73.99151611328125,40.69824600219727,1,1.67,11.5,1.0,0.5,0.0,0.0,,0.3,13.3,2,1.0
10000888,2,06/18/2015 10:32:55 PM,06/18/2015 10:49:58 PM,N,1,-73.94456481933594,40.746376037597656,-73.9342269897461,40.69488143920898,1,4.25,15.5,0.5,0.5,0.0,0.0,,0.3,16.8,2,1.0
2274265,2,05/30/2015 10:31:49 AM,05/30/2015 10:38:18 AM,N,5,-73.90392303466798,40.86956024169922,-73.92118072509764,40.867691040039055,1,1.4,10.0,0.0,0.0,1.11,0.0,,0.0,11.11,1,2.0
120964,2,02/07/2015 02:04:10 PM,02/07/2015 02:11:34 PM,N,1,-73.84431457519531,40.72132110595703,-73.81922912597656,40.71701049804688,1,1.67,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,2,1.0
17054017,1,03/30/2015 12:33:17 PM,03/30/2015 12:42:20 PM,N,1,-73.86775207519531,40.854610443115234,-73.90007781982422,40.81489944458008,1,4.1,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,2,1.0
13932928,2,08/30/2015 09:45:49 AM,08/30/2015 09:53:02 AM,N,1,-73.9462890625,40.76607131958008,-73.95384979248048,40.7426643371582,1,2.1,8.5,0.0,0.5,1.86,0.0,,0.3,11.16,1,1.0
6733689,2,10/28/2015 09:49:36 PM,10/28/2015 09:52:49 PM,N,1,-73.91209411621092,40.77521133422852,-73.90389251708984,40.77804565429688,1,0.56,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,2,1.0
11241061,1,05/31/2015 12:11:22 PM,05/31/2015 12:26:31 PM,N,1,-73.84457397460938,40.721435546875,-73.74720001220702,40.72052383422852,1,5.9,19.0,0.0,0.5,0.0,0.0,,0.3,19.8,2,1.0
12898202,2,11/08/2015 03:07:53 AM,11/08/2015 03:13:06 AM,N,1,-73.9495849609375,40.72219467163086,-73.94139099121094,40.71334838867188,1,0.98,6.0,0.5,0.5,1.82,0.0,,0.3,9.12,1,1.0
19217955,2,03/10/2015 02:20:26 PM,03/10/2015 02:25:59 PM,N,1,-73.94251251220702,40.794448852539055,-73.94044494628906,40.80487060546875,1,1.0,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2,1.0
12613328,2,10/03/2015 03:27:01 PM,10/03/2015 03:32:02 PM,N,1,-73.9262466430664,40.8609504699707,-73.9307098388672,40.85115051269531,1,0.92,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0
1387106,1,02/19/2015 12:47:25 PM,02/19/2015 12:52:05 PM,N,1,-73.94865417480467,40.680339813232415,-73.9423599243164,40.684955596923835,2,0.9,5.0,0.0,0.5,0.0,0.0,,0.0,5.5,2,1.0
2848984,1,10/01/2015 12:59:59 AM,10/01/2015 01:23:41 AM,N,1,-73.96331787109375,40.675647735595696,-73.90719604492188,40.762508392333984,1,8.7,26.5,0.5,0.5,5.55,0.0,,0.3,33.35,1,1.0
1083903,2,02/21/2015 04:35:16 AM,02/21/2015 04:58:08 AM,N,1,-73.9275894165039,40.68888473510742,-73.84055328369139,40.6858024597168,1,5.24,19.5,0.5,0.5,0.0,0.0,,0.3,20.8,2,1.0
12981287,2,08/29/2015 08:14:28 PM,08/29/2015 08:23:39 PM,N,1,-73.9519805908203,40.69221115112305,-73.9469223022461,40.71060562133789,2,1.78,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1.0
18442563,2,03/23/2015 04:17:48 AM,03/23/2015 04:25:51 AM,N,1,-73.94112396240233,40.79854202270508,-73.90995788574217,40.80646133422852,1,2.26,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,2,1.0
15404497,2,03/11/2015 03:31:27 PM,03/11/2015 03:43:55 PM,N,1,-73.91893768310547,40.75912857055664,-73.91431427001953,40.78463363647461,1,2.43,10.5,0.0,0.5,0.0,0.0,,0.3,11.3,2,1.0
17662302,1,04/12/2015 06:32:23 PM,04/12/2015 06:39:30 PM,N,1,-73.93947601318358,40.8049430847168,-73.95713043212889,40.78030776977539,1,2.0,8.0,0.0,0.5,2.2,0.0,,0.3,11.0,1,1.0
1201786,2,02/19/2015 10:56:15 PM,02/19/2015 11:03:55 PM,N,1,-73.904052734375,40.75084686279297,-73.91559600830078,40.76066589355469,1,1.31,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,1,1.0
15636888,2,03/23/2015 11:48:42 PM,03/23/2015 11:58:11 PM,N,1,-73.9455337524414,40.72153472900391,-73.99778747558594,40.72132110595703,1,3.44,12.5,0.5,0.5,0.0,0.0,,0.3,13.8,2,1.0
12523646,1,05/28/2015 10:10:26 AM,05/28/2015 10:27:45 AM,N,1,-73.96247100830078,40.80512237548828,-73.98540496826173,40.76956558227539,1,2.9,13.5,0.0,0.5,1.0,0.0,,0.3,15.3,1,1.0
9728312,1,03/12/2015 10:00:01 AM,03/12/2015 10:16:50 AM,N,1,-73.93877410888672,40.80527114868164,-73.97965240478516,40.77780532836913,1,3.7,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,2,1.0
7621360,1,01/22/2015 08:43:57 AM,01/22/2015 08:50:31 AM,N,1,-73.95355987548828,40.790977478027344,-73.96533966064453,40.774951934814446,1,1.3,7.0,0.0,0.5,1.4,0.0,,0.3,9.2,1,1.0
6134559,2,05/31/2015 06:56:09 PM,05/31/2015 07:01:01 PM,N,1,-73.82257080078125,40.76150894165039,-73.82198333740233,40.756141662597656,1,0.87,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0
11673936,2,03/26/2015 02:23:46 PM,03/26/2015 02:31:26 PM,N,1,-73.91322326660156,40.82006072998047,-73.91939544677734,40.832378387451165,1,1.31,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2,1.0
7214554,2,01/30/2015 03:18:11 PM,01/30/2015 03:26:08 PM,N,1,-73.94122314453125,40.78792572021485,-73.93606567382812,40.803321838378906,1,1.21,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2,1.0
6615735,1,07/26/2015 01:07:09 AM,07/26/2015 01:11:09 AM,N,1,-73.89562225341797,40.866798400878906,-73.90088653564453,40.87302017211913,1,0.8,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,2,1.0
4887047,2,06/07/2015 01:35:30 AM,06/07/2015 01:55:09 AM,N,1,-73.90409088134764,40.75405502319336,-74.00460815429686,40.67738342285156,2,10.82,31.0,0.5,0.5,0.0,0.0,,0.3,32.3,2,1.0
613600,2,02/22/2015 10:41:47 PM,02/22/2015 10:51:52 PM,N,1,-73.92182922363281,40.65715026855469,-73.95401763916014,40.67023086547852,1,2.37,10.0,0.5,0.5,2.26,0.0,,0.3,13.56,1,1.0
16509626,1,11/28/2015 03:54:38 PM,11/28/2015 04:02:12 PM,N,1,-73.97593688964845,40.683906555175774,-73.95429229736328,40.67370223999024,1,1.5,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2,1.0
3047774,1,04/28/2015 04:41:34 PM,04/28/2015 04:53:30 PM,N,1,-73.97909545898438,40.669734954833984,-73.9808578491211,40.68798828125,1,1.5,9.5,1.0,0.5,0.0,0.0,,0.3,11.3,2,1.0
5292803,2,04/16/2015 08:14:40 AM,04/16/2015 08:22:16 AM,N,1,-73.91569519042967,40.8699951171875,-73.92732238769531,40.86052703857422,1,1.12,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2,1.0
8553596,2,06/13/2015 10:35:22 PM,06/13/2015 10:48:54 PM,N,1,-73.9547348022461,40.82048797607422,-73.92565155029298,40.82452774047852,1,2.25,11.0,0.5,0.5,0.0,0.0,,0.3,12.3,2,1.0
7295119,1,12/21/2015 05:08:02 AM,12/21/2015 05:29:35 AM,N,1,-73.95155334472656,40.6883544921875,-73.98878479003906,40.74932861328125,1,6.6,22.0,0.5,0.5,6.95,0.0,,0.3,30.25,1,1.0
3248380,2,01/16/2015 04:07:19 PM,01/16/2015 04:12:01 PM,N,1,-73.94593048095702,40.789749145507805,-73.94441223144531,40.7965087890625,1,0.65,5.0,1.0,0.5,0.0,0.0,,0.3,6.8,2,1.0
661475,2,02/03/2015 05:52:05 PM,02/03/2015 06:04:42 PM,N,1,-73.87409210205078,40.73513412475586,-73.8577423095703,40.74138641357422,1,1.75,9.5,1.0,0.5,0.0,0.0,,0.3,11.3,2,1.0
5252013,2,09/02/2015 01:40:04 PM,09/02/2015 01:45:38 PM,N,1,-73.84893035888672,40.7314682006836,-73.84487915039062,40.72203063964844,1,0.71,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,2,1.0
8651093,1,06/01/2015 05:57:26 AM,06/01/2015 06:00:24 AM,N,1,-73.96489715576173,40.68309020996094,-73.95146179199219,40.67842483520508,1,0.8,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1,1.0
12391270,1,06/05/2015 01:04:46 PM,06/05/2015 01:10:56 PM,N,1,-73.96568298339844,40.67771530151367,-73.97676086425781,40.683269500732415,1,0.8,6.0,0.0,0.5,2.0,0.0,,0.3,8.8,1,1.0
12782177,2,03/20/2015 08:14:43 PM,03/20/2015 08:30:28 PM,N,1,-73.92686462402342,40.74431991577149,-73.95533752441406,40.78777313232422,1,4.78,16.0,0.5,0.5,3.3,0.0,,0.3,20.6,1,1.0
2124537,2,03/22/2015 08:02:32 PM,03/22/2015 08:11:17 PM,N,1,-73.96060943603516,40.71936798095703,-73.94007873535155,40.70875549316406,1,1.79,8.5,0.5,0.5,0.0,0.0,,0.3,9.8,2,1.0
10455524,2,11/02/2015 07:12:41 PM,11/02/2015 07:33:06 PM,N,1,-73.98670196533203,40.703926086425774,-73.92709350585938,40.699100494384766,1,3.99,16.5,1.0,0.5,3.66,0.0,,0.3,21.96,1,1.0
4592057,2,03/11/2015 11:16:30 PM,03/11/2015 11:30:55 PM,N,1,-73.83018493652342,40.713672637939446,-73.83224487304686,40.680618286132805,1,3.34,13.0,0.5,0.5,0.0,0.0,,0.3,14.3,2,1.0
4006389,2,07/02/2015 03:10:30 PM,07/02/2015 03:30:00 PM,N,1,-73.98606872558594,40.689151763916016,-73.93877410888672,40.69740676879882,1,3.23,15.0,0.0,0.5,0.0,0.0,,0.3,15.8,2,1.0
11230762,2,07/19/2015 05:27:13 PM,07/19/2015 05:34:17 PM,N,1,-73.96629333496092,40.80441665649414,-73.95004272460938,40.82225036621094,1,1.63,8.0,0.0,0.5,2.2,0.0,,0.3,11.0,1,1.0
9551328,2,03/24/2015 07:08:00 AM,03/24/2015 07:23:17 AM,N,1,-73.91643524169923,40.684173583984375,-73.9650650024414,40.68136215209961,1,3.11,13.0,0.0,0.5,2.76,0.0,,0.3,16.56,1,1.0
17485728,1,03/11/2015 05:18:52 PM,03/11/2015 05:36:43 PM,N,1,-73.95021820068358,40.78561782836913,-73.97408294677734,40.75661849975586,1,2.6,13.5,1.0,0.5,0.0,0.0,,0.3,15.3,2,1.0
13052301,1,10/18/2015 04:41:12 AM,10/18/2015 04:59:53 AM,N,1,-73.95760345458984,40.71794891357422,-73.9657974243164,40.634254455566406,1,9.8,28.5,0.5,0.5,5.95,0.0,,0.3,35.75,1,1.0
10188048,1,10/28/2015 04:48:56 PM,10/28/2015 04:50:13 PM,N,1,-73.99400329589844,40.69558334350586,-73.99047088623048,40.69378280639648,1,0.2,3.0,0.5,0.5,0.0,0.0,,0.3,4.3,2,1.0
